#TYPE Microsoft.Management.Infrastructure.CimInstance#root/cimv2/Win32_Process
"ProcessName","Handles","VM","WS","Path","Caption","Description","InstallDate","Name","Status","CreationClassName","CreationDate","CSCreationClassName","CSName","ExecutionState","Handle","KernelModeTime","OSCreationClassName","OSName","Priority","TerminationDate","UserModeTime","WorkingSetSize","CommandLine","ExecutablePath","HandleCount","MaximumWorkingSetSize","MinimumWorkingSetSize","OtherOperationCount","OtherTransferCount","PageFaults","PageFileUsage","ParentProcessId","PeakPageFileUsage","PeakVirtualSize","PeakWorkingSetSize","PrivatePageCount","ProcessId","QuotaNonPagedPoolUsage","QuotaPagedPoolUsage","QuotaPeakNonPagedPoolUsage","QuotaPeakPagedPoolUsage","ReadOperationCount","ReadTransferCount","SessionId","ThreadCount","VirtualSize","WindowsVersion","WriteOperationCount","WriteTransferCount","PSComputerName"
"System Idle Process","0","8192","8192",,"System Idle Process","System Idle Process",,"System Idle Process",,"Win32_Process","07-08-2025 14:56:17","Win32_ComputerSystem","AVIRUP-1",,"0","421415312500","Win32_OperatingSystem","Microsoft Windows 11 Pro|C:\WINDOWS|\Device\Harddisk0\Partition3","0",,"0","8192",,,"0",,,"0","0","9","60","0","60","8192","8","61440","0","1","0","1","0","0","0","0","12","8192","10.0.26100","0","0",
"System","3703","4571136","143360",,"System","System",,"System",,"Win32_Process","07-08-2025 14:56:17","Win32_ComputerSystem","AVIRUP-1",,"4","2571093750","Win32_OperatingSystem","Microsoft Windows 11 Pro|C:\WINDOWS|\Device\Harddisk0\Partition3","8",,"0","143360",,,"3703",,,"183741","1669654","8374","44","0","84","2199027826688","20644","45056","4","1","0","1","0","3801","14858448","0","182","4571136","10.0.26100","9090","296391697",
"Registry","0","100859904","35356672",,"Registry","Registry",,"Registry",,"Win32_Process","07-08-2025 14:56:12","Win32_ComputerSystem","AVIRUP-1",,"124","26718750","Win32_OperatingSystem","Microsoft Windows 11 Pro|C:\WINDOWS|\Device\Harddisk0\Partition3","8",,"0","35356672",,,"0",,,"405","3279","173408","7608","4","101072","168951808","163612","7790592","124","20","197","82","327","4","16384","0","4","100859904","10.0.26100","4422","138391552",
"smss.exe","61","2203376087040","45056",,"smss.exe","smss.exe",,"smss.exe",,"Win32_Process","07-08-2025 14:56:17","Win32_ComputerSystem","AVIRUP-1",,"460","1718750","Win32_OperatingSystem","Microsoft Windows 11 Pro|C:\WINDOWS|\Device\Harddisk0\Partition3","11",,"468750","45056",,,"61",,,"933","31904","1244","1184","4","1332","2203384786944","1768","1212416","460","5","15","23","35","24","2764906","0","2","2203376087040","10.0.26100","13","57508",
"csrss.exe","543","2203430666240","1540096",,"csrss.exe","csrss.exe",,"csrss.exe",,"Win32_Process","07-08-2025 14:56:19","Win32_ComputerSystem","AVIRUP-1",,"660","14218750","Win32_OperatingSystem","Microsoft Windows 11 Pro|C:\WINDOWS|\Device\Harddisk0\Partition3","13",,"2187500","1540096",,,"543",,,"23112","776192","6237","2224","628","2500","2203431845888","7540","2277376","660","21","206","22","215","298","232268","0","11","2203430666240","10.0.26100","0","0",
"wininit.exe","157","2203407822848","1708032",,"wininit.exe","wininit.exe",,"wininit.exe",,"Win32_Process","07-08-2025 14:56:19","Win32_ComputerSystem","AVIRUP-1",,"732","468750","Win32_OperatingSystem","Microsoft Windows 11 Pro|C:\WINDOWS|\Device\Harddisk0\Partition3","13",,"2031250","1708032",,,"157",,,"787","5796","4383","1712","628","2320","2203425984512","9964","1753088","732","12","83","17","104","2","24580","0","2","2203407822848","10.0.26100","0","0",
"csrss.exe","156","2203422773248","585728",,"csrss.exe","csrss.exe",,"csrss.exe",,"Win32_Process","07-08-2025 14:56:19","Win32_ComputerSystem","AVIRUP-1",,"740","5000000","Win32_OperatingSystem","Microsoft Windows 11 Pro|C:\WINDOWS|\Device\Harddisk0\Partition3","13",,"2031250","585728",,,"156",,,"2856","11854","5478","1992","724","2332","2203429937152","12740","2039808","740","13","119","16","131","49","36084","1","11","2203422773248","10.0.26100","0","0",
"winlogon.exe","206","2203453120512","172032","C:\WINDOWS\system32\winlogon.exe","winlogon.exe","winlogon.exe",,"winlogon.exe",,"Win32_Process","07-08-2025 14:56:19","Win32_ComputerSystem","AVIRUP-1",,"804","468750","Win32_OperatingSystem","Microsoft Windows 11 Pro|C:\WINDOWS|\Device\Harddisk0\Partition3","13",,"781250","172032","winlogon.exe","C:\WINDOWS\system32\winlogon.exe","206","1380","200","510","268804","5100","2256","724","4068","2203463389184","14288","2310144","804","12","137","271","147","2","289724","1","2","2203453120512","10.0.26100","0","0",
"services.exe","491","2203401662464","6049792",,"services.exe","services.exe",,"services.exe",,"Win32_Process","07-08-2025 14:56:19","Win32_ComputerSystem","AVIRUP-1",,"876","70468750","Win32_OperatingSystem","Microsoft Windows 11 Pro|C:\WINDOWS|\Device\Harddisk0\Partition3","9",,"36718750","6049792",,,"491",,,"53274","218166","16558","4540","732","5992","2203427848192","11232","4648960","876","14","155","28","205","3","8308","0","10","2203401662464","10.0.26100","1","160",
"lsass.exe","1645","2203468242944","14479360","C:\WINDOWS\system32\lsass.exe","lsass.exe","lsass.exe",,"lsass.exe",,"Win32_Process","07-08-2025 14:56:20","Win32_ComputerSystem","AVIRUP-1",,"896","66406250","Win32_OperatingSystem","Microsoft Windows 11 Pro|C:\WINDOWS|\Device\Harddisk0\Partition3","9",,"59687500","14479360","C:\WINDOWS\system32\lsass.exe","C:\WINDOWS\system32\lsass.exe","1645","1380","200","52978","4172267","33998","8536","732","9276","2203476639744","28864","8740864","896","35","230","283","418","1814","188672","0","12","2203468242944","10.0.26100","1277","1369764",
