"Name","ProcessId","ParentProcessId","CreationDate","CommandLine","ExecutablePath"
"System Idle Process","0","0","07-08-2025 14:56:17",,
"System","4","0","07-08-2025 14:56:17",,
"Registry","124","4","07-08-2025 14:56:12",,
"smss.exe","460","4","07-08-2025 14:56:17",,
"csrss.exe","660","628","07-08-2025 14:56:19",,
"wininit.exe","732","628","07-08-2025 14:56:19",,
"csrss.exe","740","724","07-08-2025 14:56:19",,
"winlogon.exe","804","724","07-08-2025 14:56:19","winlogon.exe","C:\WINDOWS\system32\winlogon.exe"
"services.exe","876","732","07-08-2025 14:56:19",,
"lsass.exe","896","732","07-08-2025 14:56:20","C:\WINDOWS\system32\lsass.exe","C:\WINDOWS\system32\lsass.exe"
"svchost.exe","540","876","07-08-2025 14:56:20","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p","C:\WINDOWS\system32\svchost.exe"
"fontdrvhost.exe","560","804","07-08-2025 14:56:20","""fontdrvhost.exe""","C:\WINDOWS\system32\fontdrvhost.exe"
"fontdrvhost.exe","440","732","07-08-2025 14:56:20","""fontdrvhost.exe""","C:\WINDOWS\system32\fontdrvhost.exe"
"svchost.exe","868","876","07-08-2025 14:56:20","C:\WINDOWS\system32\svchost.exe -k RPCSS -p","C:\WINDOWS\system32\svchost.exe"
"LogonUI.exe","1128","804","07-08-2025 14:56:20","""LogonUI.exe"" /flags:0x2 /state0:0xa3bd4855 /state1:0x41c64e6d","C:\WINDOWS\system32\LogonUI.exe"
"dwm.exe","1172","804","07-08-2025 14:56:20","""dwm.exe""","C:\WINDOWS\system32\dwm.exe"
"svchost.exe","1236","876","07-08-2025 14:56:20","C:\WINDOWS\System32\svchost.exe -k NetworkService","C:\WINDOWS\System32\svchost.exe"
"svchost.exe","1260","876","07-08-2025 14:56:20","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p","C:\WINDOWS\System32\svchost.exe"
"svchost.exe","1308","876","07-08-2025 14:56:20","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p","C:\WINDOWS\System32\svchost.exe"
"svchost.exe","1320","876","07-08-2025 14:56:20","C:\WINDOWS\system32\svchost.exe -k LocalService -p","C:\WINDOWS\system32\svchost.exe"
"svchost.exe","1328","876","07-08-2025 14:56:20","C:\WINDOWS\system32\svchost.exe -k LocalService","C:\WINDOWS\system32\svchost.exe"
"svchost.exe","1452","876","07-08-2025 14:56:20","C:\WINDOWS\system32\svchost.exe -k NetworkService -p","C:\WINDOWS\system32\svchost.exe"
"svchost.exe","1528","876","07-08-2025 14:56:20","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","C:\WINDOWS\system32\svchost.exe"
"svchost.exe","1552","876","07-08-2025 14:56:20","C:\WINDOWS\System32\svchost.exe -k netprofm -p","C:\WINDOWS\System32\svchost.exe"
"svchost.exe","1572","876","07-08-2025 14:56:20","C:\WINDOWS\system32\svchost.exe -k UserProfileService -p","C:\WINDOWS\system32\svchost.exe"
"svchost.exe","1656","876","07-08-2025 14:56:21","C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p","C:\WINDOWS\system32\svchost.exe"
"svchost.exe","1664","876","07-08-2025 14:56:21","C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetwork -p","C:\WINDOWS\system32\svchost.exe"
"svchost.exe","1792","876","07-08-2025 14:56:21","C:\WINDOWS\system32\svchost.exe -k netsvcs","C:\WINDOWS\system32\svchost.exe"
"svchost.exe","2072","876","07-08-2025 14:56:21","C:\WINDOWS\system32\svchost.exe -k LocalServiceHttp -p","C:\WINDOWS\system32\svchost.exe"
"Memory Compression","2224","4","07-08-2025 14:56:21",,
