"Name","Id","StartTime","Path","Company","Description","FileVersion","ProductVersion","CPU","WorkingSet","VirtualMemorySize"
"AggregatorHost","4664","07-08-2025 14:56:38","C:\WINDOWS\System32\AggregatorHost.exe","Microsoft Corporation","Microsoft (R) Aggregator Host","10.0.26100.4202 (WinBuild.160101.0800)","10.0.26100.4202","0.84375","4268032","75632640"
"ApplicationFrameHost","5208","07-08-2025 15:58:06","C:\WINDOWS\system32\ApplicationFrameHost.exe","Microsoft Corporation","Application Frame Host","10.0.26100.3912 (WinBuild.160101.0800)","10.0.26100.3912","0.578125","2580480","226586624"
"backgroundTaskHost","6248","07-08-2025 15:13:22","C:\WINDOWS\system32\backgroundTaskHost.exe","Microsoft Corporation","Background Task Host","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","1.890625","5251072","713129984"
"backgroundTaskHost","8596","07-08-2025 15:11:19","C:\WINDOWS\system32\backgroundTaskHost.exe","Microsoft Corporation","Background Task Host","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","0.578125","217088","-1467658240"
"conhost","5380","07-08-2025 15:57:35","C:\WINDOWS\system32\conhost.exe","Microsoft Corporation","Console Window Host","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","0.171875","995328","161198080"
"CrossDeviceResume","6160","07-08-2025 15:11:09","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\CrossDeviceResume.exe","Microsoft Corporation","","2125.15000.10.0","2125.15000.10.0","0.546875","3858432","318910464"
"CrossDeviceService","6836","07-08-2025 15:11:49","C:\Program Files\WindowsApps\MicrosoftWindows.CrossDevice_1.25062.33.0_x64__cw5n1h2txyewy\CrossDeviceService.exe","Microsoft Corporation","Microsoft Cross Device Service","1.25062.33.0","1.25062.33+9c3caa138c78a50d2b9903fb5229f93e6ac7872b","1.125","15532032","-1481039872"
"csrss","660","07-08-2025 14:56:19",,,,,,"1.640625","2101248","112443392"
"csrss","740","07-08-2025 14:56:19",,,,,,"0.703125","557056","104550400"
"csrss","4764","07-08-2025 15:10:55",,,,,,"32.015625","31690752","158998528"
"ctfmon","3420","07-08-2025 17:00:01","C:\WINDOWS\system32\ctfmon.exe","Microsoft Corporation","CTF Loader","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","0.640625","11599872","159461376"
"dllhost","3772","07-08-2025 14:56:36","C:\WINDOWS\system32\dllhost.exe","Microsoft Corporation","COM Surrogate","10.0.26100.1150 (WinBuild.160101.0800)","10.0.26100.1150","0.546875","3477504","101883904"
"dllhost","8528","07-08-2025 15:18:02","C:\WINDOWS\system32\DllHost.exe","Microsoft Corporation","COM Surrogate","10.0.26100.1150 (WinBuild.160101.0800)","10.0.26100.1150","0.171875","12746752","160612352"
"dwm","1172","07-08-2025 14:56:20","C:\WINDOWS\system32\dwm.exe","Microsoft Corporation","Desktop Window Manager","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","5.90625","7262208","249311232"
"dwm","1964","07-08-2025 15:10:55","C:\WINDOWS\system32\dwm.exe","Microsoft Corporation","Desktop Window Manager","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","29.15625","67407872","411418624"
"explorer","3968","07-08-2025 15:11:09","C:\WINDOWS\Explorer.EXE","Microsoft Corporation","Windows Explorer","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","50.859375","239185920","909770752"
"fontdrvhost","440","07-08-2025 14:56:20","C:\WINDOWS\system32\fontdrvhost.exe","Microsoft Corporation","Usermode Font Driver Host","10.0.26100.3912 (WinBuild.160101.0800)","10.0.26100.3912","0.03125","102400","74539008"
"fontdrvhost","560","07-08-2025 14:56:20","C:\WINDOWS\system32\fontdrvhost.exe","Microsoft Corporation","Usermode Font Driver Host","10.0.26100.3912 (WinBuild.160101.0800)","10.0.26100.3912","0.015625","73728","73134080"
"fontdrvhost","5968","07-08-2025 15:10:55","C:\WINDOWS\system32\fontdrvhost.exe","Microsoft Corporation","Usermode Font Driver Host","10.0.26100.3912 (WinBuild.160101.0800)","10.0.26100.3912","0.078125","1757184","77348864"
"Idle","0",,,,,,,,"8192","8192"
"LogonUI","1128","07-08-2025 14:56:20","C:\WINDOWS\system32\LogonUI.exe","Microsoft Corporation","Windows Logon User Interface Host","10.0.26100.4484 (WinBuild.160101.0800)","10.0.26100.4484","3.75","20373504","318210048"
"lsass","896","07-08-2025 14:56:20","C:\WINDOWS\system32\lsass.exe","Microsoft Corporation","Local Security Authority Process","10.0.26100.1882 (WinBuild.160101.0800)","10.0.26100.1882","12.8125","14385152","150020096"
"Memory Compression","2224","07-08-2025 14:56:21",,,,,,"20.265625","39342080","438435840"
"MicrosoftEdgeUpdate","2784","07-08-2025 15:11:08","C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe","Microsoft Corporation","Microsoft Edge Update","1.3.185.27","1.3.185.27","0.21875","2240512","95825920"
"MpDefenderCoreService","2916","07-08-2025 14:56:21",,,,,,"1.15625","10616832","130596864"
"msdtc","4052","07-08-2025 14:56:37","C:\WINDOWS\System32\msdtc.exe","Microsoft Corporation","Microsoft Distributed Transaction Coordinator Service","2001.12.10941.16384 (WinBuild.160101.0800)","10.0.26100.1","0.203125","1929216","92897280"
"msedge","4160","07-08-2025 15:11:47","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Microsoft Corporation","Microsoft Edge","138.0.3351.121","138.0.3351.121","0.234375","3141632","579264512"
"msedge","10120","07-08-2025 15:11:47","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Microsoft Corporation","Microsoft Edge","138.0.3351.121","138.0.3351.121","0.96875","7745536","751202304"
"msedge","10128","07-08-2025 15:11:47","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Microsoft Corporation","Microsoft Edge","138.0.3351.121","138.0.3351.121","0.671875","4055040","770396160"
"msedge","10160","07-08-2025 15:11:47","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Microsoft Corporation","Microsoft Edge","138.0.3351.121","138.0.3351.121","0.109375","1261568","250789888"
"msedge","10168","07-08-2025 15:11:47","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Microsoft Corporation","Microsoft Edge","138.0.3351.121","138.0.3351.121","6.078125","24219648","1350676480"
"msedgewebview2","1184","07-08-2025 15:11:15","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\138.0.3351.121\msedgewebview2.exe","Microsoft Corporation","Microsoft Edge WebView2","138.0.3351.121","138.0.3351.121","6.375","5849088","-593674240"
