"LocalAddress","LocalPort","RemoteAddress","RemotePort","State","OwningProcess","CreationTime"
"::","49700","::","0","Listen","876","07-08-2025 14:56:38"
"::","49669","::","0","Listen","2672","07-08-2025 14:56:21"
"::","49668","::","0","Listen","896","07-08-2025 14:56:21"
"::","49667","::","0","Listen","1308","07-08-2025 14:56:21"
"::","49666","::","0","Listen","1528","07-08-2025 14:56:21"
"::","49665","::","0","Listen","732","07-08-2025 14:56:20"
"::","49664","::","0","Listen","896","07-08-2025 14:56:20"
"::","47001","::","0","Listen","4","07-08-2025 14:58:40"
"::","5985","::","0","Listen","4","07-08-2025 14:58:40"
"::","3389","::","0","Listen","1236","07-08-2025 14:56:21"
"::","445","::","0","Listen","4","07-08-2025 14:56:22"
"::","135","::","0","Listen","868","07-08-2025 14:56:20"
"0.0.0.0","50303","0.0.0.0","0","Bound","2916","07-08-2025 18:35:38"
"0.0.0.0","49721","0.0.0.0","0","Bound","1528","07-08-2025 14:56:54"
"192.168.52.144","50303","52.123.130.14","443","Established","2916","07-08-2025 18:35:38"
"192.168.52.144","50300","52.182.143.208","443","TimeWait","0","01-01-1601 05:30:00"
"192.168.52.144","49721","4.213.25.242","443","Established","1528","07-08-2025 14:56:54"
"0.0.0.0","49700","0.0.0.0","0","Listen","876","07-08-2025 14:56:38"
"0.0.0.0","49669","0.0.0.0","0","Listen","2672","07-08-2025 14:56:21"
"0.0.0.0","49668","0.0.0.0","0","Listen","896","07-08-2025 14:56:21"
"0.0.0.0","49667","0.0.0.0","0","Listen","1308","07-08-2025 14:56:21"
"0.0.0.0","49666","0.0.0.0","0","Listen","1528","07-08-2025 14:56:21"
"0.0.0.0","49665","0.0.0.0","0","Listen","732","07-08-2025 14:56:20"
"0.0.0.0","49664","0.0.0.0","0","Listen","896","07-08-2025 14:56:20"
"0.0.0.0","5040","0.0.0.0","0","Listen","1320","07-08-2025 14:56:55"
"192.168.52.144","3389","106.213.85.160","13581","Established","1236","07-08-2025 17:00:00"
"0.0.0.0","3389","0.0.0.0","0","Listen","1236","07-08-2025 14:56:21"
"192.168.52.144","139","0.0.0.0","0","Listen","4","07-08-2025 14:56:21"
"0.0.0.0","135","0.0.0.0","0","Listen","868","07-08-2025 14:56:20"
