"HostName","TaskName","Next Run Time","Status","Logon Mode","Last Run Time","Last Result","Author","Task To Run","Start In","Comment","Scheduled Task State","Idle Time","Power Management","Run As User","Delete Task If Not Rescheduled","Stop Task If Runs X Hours and X Mins","Schedule","Schedule Type","Start Time","Start Date","End Date","Days","Months","Repeat: Every","Repeat: Until: Time","Repeat: Until: Duration","Repeat: Stop If Still Running"
"AVIRUP-1","\MDE_Advanced_Test_8bdd81b5","08-08-2025 03:00:00","Ready","Interactive only","30-11-1999 00:00:00","267011","N/A","cmd.exe /c echo MDE Test && pause","N/A","N/A","Enabled","Disabled","","Admin","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","03:00:00","07-08-2025","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"
"AVIRUP-1","\MDE_Advanced_Test_8bdd81b5","08-08-2025 03:00:00","Ready","Interactive only","30-11-1999 00:00:00","267011","N/A","cmd.exe /c echo MDE Test && pause","N/A","N/A","Enabled","Disabled","","Admin","Disabled","72:00:00","Scheduling data is not available in this format.","At logon time","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"AVIRUP-1","\MDE_Advanced_Test_8bdd81b5","08-08-2025 03:00:00","Ready","Interactive only","30-11-1999 00:00:00","267011","N/A","cmd.exe /c echo MDE Test && pause","N/A","N/A","Enabled","Disabled","","Admin","Disabled","72:00:00","Scheduling data is not available in this format.","At system start up","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"AVIRUP-1","\MicrosoftEdgeUpdateTaskMachineCore{807C6980-834F-411A-ACF5-4FA489930ABE}","08-08-2025 13:56:09","Running","Interactive/Background","07-08-2025 15:11:08","267009","N/A","C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe /c","N/A","Keeps your Microsoft software up to date. If this task is disabled or stopped, your Microsoft software will not be kept up to date, meaning security vulnerabilities that may arise cannot be fixed and features may not work. This task uninstalls itself wh","Enabled","Disabled","Stop On Battery Mode","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","At logon time","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"AVIRUP-1","\MicrosoftEdgeUpdateTaskMachineCore{807C6980-834F-411A-ACF5-4FA489930ABE}","08-08-2025 13:56:09","Running","Interactive/Background","07-08-2025 15:11:08","267009","N/A","C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe /c","N/A","Keeps your Microsoft software up to date. If this task is disabled or stopped, your Microsoft software will not be kept up to date, meaning security vulnerabilities that may arise cannot be fixed and features may not work. This task uninstalls itself wh","Enabled","Disabled","Stop On Battery Mode","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","13:56:09","01-08-2025","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"
"AVIRUP-1","\MicrosoftEdgeUpdateTaskMachineUA{FB8108C4-9A5E-45F1-B8AB-0CD1A55D6DDB}","07-08-2025 19:26:09","Ready","Interactive/Background","07-08-2025 18:26:10","0","N/A","C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe /ua /installsource scheduler","N/A","Keeps your Microsoft software up to date. If this task is disabled or stopped, your Microsoft software will not be kept up to date, meaning security vulnerabilities that may arise cannot be fixed and features may not work. This task uninstalls itself wh","Enabled","Disabled","Stop On Battery Mode","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","13:26:09","01-08-2025","N/A","Every 1 day(s)","N/A","1 Hour(s), 0 Minute(s)","None","24 Hour(s), 0 Minute(s)","Disabled"
"AVIRUP-1","\OneDrive Reporting Task-S-1-5-21-3536387592-484795968-114242157-1633","08-08-2025 05:30:42","Ready","Interactive only","30-07-2025 05:30:43","0","Microsoft Corporation","%localappdata%\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe /reporting","N/A","N/A","Enabled","Disabled","Stop On Battery Mode","Vikas","Disabled","02:00:00","Scheduling data is not available in this format.","One Time Only, Hourly ","05:30:42","29-07-2025","N/A","N/A","N/A","24 Hour(s), 0 Minute(s)","None","Disabled","Disabled"
"AVIRUP-1","\OneDrive Reporting Task-S-1-5-21-3536387592-484795968-114242157-1644","07-08-2025 20:17:42","Ready","Interactive only","08-07-2025 20:17:44","0","Microsoft Corporation","%localappdata%\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe /reporting","N/A","N/A","Enabled","Disabled","Stop On Battery Mode","Arun","Disabled","02:00:00","Scheduling data is not available in this format.","One Time Only, Hourly ","20:17:42","06-07-2025","N/A","N/A","N/A","24 Hour(s), 0 Minute(s)","None","Disabled","Disabled"
"AVIRUP-1","\OneDrive Reporting Task-S-1-5-21-3536387592-484795968-114242157-1654","07-08-2025 18:55:44","Ready","Interactive only","05-08-2025 18:55:46","0","Microsoft Corporation","%localappdata%\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe /reporting","N/A","N/A","Enabled","Disabled","Stop On Battery Mode","Ravi","Disabled","02:00:00","Scheduling data is not available in this format.","One Time Only, Hourly ","18:55:44","03-08-2025","N/A","N/A","N/A","24 Hour(s), 0 Minute(s)","None","Disabled","Disabled"
"AVIRUP-1","\OneDrive Reporting Task-S-1-5-21-3536387592-484795968-114242157-1658","08-08-2025 03:07:04","Ready","Interactive only","04-08-2025 03:07:05","0","Microsoft Corporation","%localappdata%\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe /reporting","N/A","N/A","Enabled","Disabled","Stop On Battery Mode","Suraj","Disabled","02:00:00","Scheduling data is not available in this format.","One Time Only, Hourly ","03:07:04","30-07-2025","N/A","N/A","N/A","24 Hour(s), 0 Minute(s)","None","Disabled","Disabled"
"AVIRUP-1","\OneDrive Reporting Task-S-1-5-21-382297125-3180263876-1941408969-1001","08-08-2025 15:58:44","Ready","Interactive only","07-08-2025 15:58:45","0","Microsoft Corporation","%localappdata%\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe /reporting","N/A","N/A","Enabled","Disabled","Stop On Battery Mode","Admin","Disabled","02:00:00","Scheduling data is not available in this format.","One Time Only, Hourly ","15:58:44","05-08-2025","N/A","N/A","N/A","24 Hour(s), 0 Minute(s)","None","Disabled","Disabled"
"AVIRUP-1","\OneDrive Standalone Update Task-S-1-5-21-3536387592-484795968-114242157-1633","08-08-2025 05:45:45","Ready","Interactive only","30-11-1999 00:00:00","267011","Microsoft Corporation","%localappdata%\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode","Vikas","Disabled","24:00:00","Scheduling data is not available in this format.","One Time Only, Hourly ","04:00:00","01-05-1992","N/A","N/A","N/A","24 Hour(s), 0 Minute(s)","None","Disabled","Disabled"
"AVIRUP-1","\OneDrive Standalone Update Task-S-1-5-21-3536387592-484795968-114242157-1644","07-08-2025 22:50:42","Ready","Interactive only","08-07-2025 22:20:43","-2147160572","Microsoft Corporation","%localappdata%\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode","Arun","Disabled","24:00:00","Scheduling data is not available in this format.","One Time Only, Hourly ","19:00:00","01-05-1992","N/A","N/A","N/A","24 Hour(s), 0 Minute(s)","None","Disabled","Disabled"
"AVIRUP-1","\OneDrive Standalone Update Task-S-1-5-21-3536387592-484795968-114242157-1654","08-08-2025 17:18:21","Ready","Interactive only","05-08-2025 19:13:05","-2147160572","Microsoft Corporation","%localappdata%\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode","Ravi","Disabled","24:00:00","Scheduling data is not available in this format.","One Time Only, Hourly ","17:00:00","01-05-1992","N/A","N/A","N/A","24 Hour(s), 0 Minute(s)","None","Disabled","Disabled"
