"TaskName","TaskPath","State","Author","Date","LastRunTime","NextRunTime"
"MDE_Advanced_Test_8bdd81b5","\","Ready",,,,
"MicrosoftEdgeUpdateTaskMachineCore{807C6980-834F-411A-ACF5-4FA489930ABE}","\","Running",,,,
"MicrosoftEdgeUpdateTaskMachineUA{FB8108C4-9A5E-45F1-B8AB-0CD1A55D6DDB}","\","Ready",,,,
"OneDrive Reporting Task-S-1-5-21-3536387592-484795968-114242157-1633","\","Ready","Microsoft Corporation",,,
"OneDrive Reporting Task-S-1-5-21-3536387592-484795968-114242157-1644","\","Ready","Microsoft Corporation",,,
"OneDrive Reporting Task-S-1-5-21-3536387592-484795968-114242157-1654","\","Ready","Microsoft Corporation",,,
"OneDrive Reporting Task-S-1-5-21-3536387592-484795968-114242157-1658","\","Ready","Microsoft Corporation",,,
"OneDrive Reporting Task-S-1-5-21-382297125-3180263876-1941408969-1001","\","Ready","Microsoft Corporation",,,
"OneDrive Standalone Update Task-S-1-5-21-3536387592-484795968-114242157-1633","\","Ready","Microsoft Corporation",,,
"OneDrive Standalone Update Task-S-1-5-21-3536387592-484795968-114242157-1644","\","Ready","Microsoft Corporation",,,
"OneDrive Standalone Update Task-S-1-5-21-3536387592-484795968-114242157-1654","\","Ready","Microsoft Corporation",,,
"OneDrive Standalone Update Task-S-1-5-21-3536387592-484795968-114242157-1658","\","Ready","Microsoft Corporation",,,
"OneDrive Standalone Update Task-S-1-5-21-382297125-3180263876-1941408969-1001","\","Ready","Microsoft Corporation",,,
"OneDrive Startup Task-S-1-5-21-3536387592-484795968-114242157-1633","\","Ready","Microsoft Corporation",,,
"OneDrive Startup Task-S-1-5-21-3536387592-484795968-114242157-1644","\","Ready","Microsoft Corporation",,,
"OneDrive Startup Task-S-1-5-21-3536387592-484795968-114242157-1654","\","Ready","Microsoft Corporation",,,
"OneDrive Startup Task-S-1-5-21-3536387592-484795968-114242157-1658","\","Ready","Microsoft Corporation",,,
"OneDrive Startup Task-S-1-5-21-382297125-3180263876-1941408969-1001","\","Ready","Microsoft Corporation",,,
"SvcUpdater","\","Ready",,,,
"TelemetryHost","\","Ready",,,,
"UpdaterServiceTask","\","Ready",,,,
"UpdaterTask_20250806_162551","\","Ready",,,,
"UpdaterTask_20250806_175454","\","Ready",,,,
"UpdaterTask_20250807_000612","\","Ready",,,,
"WindowsUpdaterSvc","\","Ready",,,,
".NET Framework NGEN v4.0.30319","\Microsoft\Windows\.NET Framework\","Ready",,"2010-09-30T14:53:37.9516706",,
".NET Framework NGEN v4.0.30319 64","\Microsoft\Windows\.NET Framework\","Ready",,"2010-09-30T14:53:37.9516706",,
".NET Framework NGEN v4.0.30319 64 Critical","\Microsoft\Windows\.NET Framework\","Disabled",,"2010-09-30T14:53:37.9516706",,
".NET Framework NGEN v4.0.30319 Critical","\Microsoft\Windows\.NET Framework\","Disabled",,"2010-09-30T14:53:37.9516706",,
"RecoverabilityToastTask","\Microsoft\Windows\AccountHealth\","Ready","Microsoft Corporation",,,
"AD RMS Rights Policy Template Management (Automated)","\Microsoft\Windows\Active Directory Rights Management Services Client\","Disabled","Microsoft Corporation","2006-11-10T14:29:55.5851926",,
"AD RMS Rights Policy Template Management (Manual)","\Microsoft\Windows\Active Directory Rights Management Services Client\","Ready","Microsoft Corporation","2006-11-10T14:29:55.5851926",,
"EDP Policy Manager","\Microsoft\Windows\AppID\","Ready","Microsoft Corporation","2015-02-09T10:54:13.9629482",,
"PolicyConverter","\Microsoft\Windows\AppID\","Ready","Microsoft Corporation",,,
"VerifiedPublisherCertStoreCheck","\Microsoft\Windows\AppID\","Ready","Microsoft Corporation",,,
"MareBackup","\Microsoft\Windows\Application Experience\","Ready","Microsoft Corporation",,,
