"TaskName","Date","Author","TaskPath"
".NET Framework NGEN v4.0.30319","2010-09-30T14:53:37.9516706",,"\Microsoft\Windows\.NET Framework\"
".NET Framework NGEN v4.0.30319 64","2010-09-30T14:53:37.9516706",,"\Microsoft\Windows\.NET Framework\"
".NET Framework NGEN v4.0.30319 64 Critical","2010-09-30T14:53:37.9516706",,"\Microsoft\Windows\.NET Framework\"
".NET Framework NGEN v4.0.30319 Critical","2010-09-30T14:53:37.9516706",,"\Microsoft\Windows\.NET Framework\"
"AD RMS Rights Policy Template Management (Automated)","2006-11-10T14:29:55.5851926","Microsoft Corporation","\Microsoft\Windows\Active Directory Rights Management Services Client\"
"AD RMS Rights Policy Template Management (Manual)","2006-11-10T14:29:55.5851926","Microsoft Corporation","\Microsoft\Windows\Active Directory Rights Management Services Client\"
"EDP Policy Manager","2015-02-09T10:54:13.9629482","Microsoft Corporation","\Microsoft\Windows\AppID\"
"License Validation","2014-01-01T00:00:00","Microsoft Corporation","\Microsoft\Windows\Clip\"
"LicenseImdsIntegration","2021-03-01T00:00:00","$(@%SystemRoot%\system32\fclip.exe,-100)","\Microsoft\Windows\Clip\"
"File History (maintenance mode)","2010-08-12T00:00:00","Microsoft Corporation","\Microsoft\Windows\FileHistory\"
"WinSAT","2008-02-25T19:15:00","Microsoft","\Microsoft\Windows\Maintenance\"
"MapsToastTask","2014-11-05T00:00:00","Microsoft Corporation","\Microsoft\Windows\Maps\"
"MapsUpdateTask","2014-11-05T00:00:00","Microsoft Corporation","\Microsoft\Windows\Maps\"
"SystemSoundsService","2005-06-23T13:48:00-08:00",,"\Microsoft\Windows\Multimedia\"
"Secure-Boot-Update","2012-02-07T16:39:20","Microsoft Corporation","\Microsoft\Windows\PI\"
"Sqm-Tasks","2011-07-22T00:00:00.8844064","Microsoft Corporation","\Microsoft\Windows\PI\"
"RemoteAssistanceTask","2005-11-08T17:18:32","Microsoft","\Microsoft\Windows\RemoteAssistance\"
"EnableLicenseAcquisition","2016-01-01T00:00:00","Microsoft Corporation","\Microsoft\Windows\Subscription\"
"LicenseAcquisition","2016-01-01T00:00:00","Microsoft Corporation","\Microsoft\Windows\Subscription\"
"SynchronizeTimeZone","2013-01-10T16:32:04.2837388","Microsoft Corporation","\Microsoft\Windows\Time Zone\"
"Tpm-HASCertRetr","2015-02-16T17:49:20.8844064","Microsoft Corporation","\Microsoft\Windows\TPM\"
"Tpm-Maintenance","2010-06-10T17:49:20.8844064","Microsoft Corporation","\Microsoft\Windows\TPM\"
"Tpm-PreAttestationHealthCheck","2023-12-01T17:49:20.8844064","Microsoft Corporation","\Microsoft\Windows\TPM\"
