"Name","DisplayName","Enabled","Direction","Action"
"NETDIS-UPnPHost-Out-TCP","Network Discovery (UPnP-Out)","False","Outbound","Allow"
"WFDPRINT-SPOOL-Out-Active","Wi-Fi Direct Spooler Use (Out)","True","Outbound","Allow"
"RemoteAssistance-Out-TCP","Remote Assistance (TCP-Out)","False","Outbound","Allow"
"NETDIS-SSDPSrv-Out-UDP-Active","Network Discovery (SSDP-Out)","True","Outbound","Allow"
"NETDIS-WSDEVNT-Out-TCP-Active","Network Discovery (WSD Events-Out)","True","Outbound","Allow"
"RemoteEventLogSvc-NP-In-TCP-NoScope","Remote Event Log Management (NP-In)","False","Inbound","Allow"
"RemoteTask-In-TCP-NoScope","Remote Scheduled Tasks Management (RPC)","False","Inbound","Allow"
"WFDPRINT-SPOOL-In-Active","Wi-Fi Direct Spooler Use (In)","True","Inbound","Allow"
"RemoteAssistance-Out-TCP-Active","Remote Assistance (TCP-Out)","True","Outbound","Allow"
"MSDTC-Out-TCP","Distributed Transaction Co-ordinator (TCP-Out)","False","Outbound","Allow"
"RRAS-L2TP-Out-UDP","Routing and Remote Access (L2TP-Out)","False","Outbound","Allow"
"CoreNet-ICMP6-PTB-Out","Core Networking - Packet Too Big (ICMPv6-Out)","True","Outbound","Allow"
"CDPSvc-Out-UDP","Connected Devices Platform (UDP-Out)","True","Outbound","Allow"
"PNRPMNRS-PNRP-In-UDP","Windows Collaboration Computer Name Registration Service (PNRP-In)","False","Inbound","Allow"
"NETDIS-NB_Name-Out-UDP","Network Discovery (NB-Name-Out)","False","Outbound","Allow"
"NETDIS-NB_Datagram-Out-UDP","Network Discovery (NB-Datagram-Out)","False","Outbound","Allow"
"Collab-P2PHost-WSD-In-UDP","Windows Peer to Peer Collaboration Foundation (WSD-In)","False","Inbound","Allow"
"RemoteEventLogSvc-In-TCP","Remote Event Log Management (RPC)","False","Inbound","Allow"
"CoreNet-IPv6-In","Core Networking - IPv6 (IPv6-In)","True","Inbound","Allow"
"CDPSvc-WFD-Out-TCP","Connected Devices Platform - WiFi Direct Transport (TCP-Out)","True","Outbound","Allow"
"NETDIS-LLMNR-In-UDP","Network Discovery (LLMNR-UDP-In)","False","Inbound","Allow"
"RemoteEventLogSvc-NP-In-TCP","Remote Event Log Management (NP-In)","False","Inbound","Allow"
"SNMPTRAP-In-UDP","SNMP Trap Service (UDP In)","False","Inbound","Allow"
"MDNS-Out-UDP-Domain-Active","mDNS (UDP-Out)","True","Outbound","Allow"
"DeliveryOptimization-UDP-In","Delivery Optimization (UDP-In)","True","Inbound","Allow"
"CoreNet-ICMP6-PP-Out","Core Networking - Parameter Problem (ICMPv6-Out)","True","Outbound","Allow"
"CoreNet-ICMP6-RA-In","Core Networking - Router Advertisement (ICMPv6-In)","True","Inbound","Allow"
"CoreNet-ICMP4-DUFRAG-In","Core Networking - Destination Unreachable Fragmentation Needed (ICMPv4-In)","True","Inbound","Allow"
"CoreNet-DHCP-In","Core Networking - Dynamic Host Configuration Protocol (DHCP-In)","True","Inbound","Allow"
"NETDIS-DAS-In-UDP-Active","Network Discovery (WSD-In)","True","Inbound","Allow"
"RRAS-GRE-In","Routing and Remote Access (GRE-In)","False","Inbound","Allow"
"TPMVSCMGR-RPCSS-In-TCP-NoScope","TPM Virtual Smart Card Management (DCOM-In)","False","Inbound","Allow"
"CoreNet-DHCPV6-In","Core Networking - Dynamic Host Configuration Protocol for IPv6(DHCPV6-In)","True","Inbound","Allow"
"MSDTC-KTMRM-In-TCP","Distributed Transaction Co-ordinator (RPC)","False","Inbound","Allow"
"NETDIS-SSDPSrv-In-UDP-Teredo","Network Discovery for Teredo (SSDP-In)","True","Inbound","Allow"
"MsiScsi-Out-TCP","iSCSI Service (TCP-Out)","False","Outbound","Allow"
"NETDIS-UPnP-Out-TCP","Network Discovery (UPnPHost-Out)","False","Outbound","Allow"
"CDPSvc-Out-TCP","Connected Devices Platform (TCP-Out)","True","Outbound","Allow"
"MSDTC-RPCSS-In-TCP-NoScope","Distributed Transaction Co-ordinator (RPC-EPMAP)","False","Inbound","Allow"
"WFDPRINT-SCAN-In-Active","Wi-Fi Direct Scan Service Use (In)","True","Inbound","Allow"
"RemoteAssistance-PnrpSvc-UDP-OUT","Remote Assistance (PNRP-Out)","False","Outbound","Allow"
"NETDIS-FDPHOST-In-UDP-Active","Network Discovery (WSD-In)","True","Inbound","Allow"
"CoreNet-ICMP6-RS-Out","Core Networking - Router Solicitation (ICMPv6-Out)","True","Outbound","Allow"
"RemoteAssistance-SSDPSrv-Out-UDP-Active","Remote Assistance (SSDP UDP-Out)","True","Outbound","Allow"
"RemoteAssistance-SSDPSrv-Out-TCP-Active","Remote Assistance (SSDP TCP-Out)","True","Outbound","Allow"
"NETDIS-WSDEVNT-In-TCP-Active","Network Discovery (WSD Events-In)","True","Inbound","Allow"
"CoreNet-ICMP6-NDS-In","Core Networking - Neighbour Discovery Solicitation (ICMPv6-In)","True","Inbound","Allow"
"EventForwarder-RPCSS-In-TCP","Remote Event Monitor (RPC-EPMAP)","False","Inbound","Allow"
"RemoteAssistance-DCOM-In-TCP-NoScope-Active","Remote Assistance (DCOM-In)","True","Inbound","Allow"
"NETDIS-UPnPHost-Out-TCP-Active","Network Discovery (UPnP-Out)","True","Outbound","Allow"
"NETDIS-WSDEVNTS-In-TCP-Active","Network Discovery (WSD EventsSecure-In)","True","Inbound","Allow"
"RVM-RPCSS-In-TCP","Remote Volume Management (RPC-EPMAP)","False","Inbound","Allow"
"RemoteAssistance-RAServer-In-TCP-NoScope-Active","Remote Assistance (RA Server TCP-In)","True","Inbound","Allow"
"NETDIS-UPnPHost-In-TCP-Active","Network Discovery (UPnP-In)","True","Inbound","Allow"
"RemoteEventLogSvc-RPCSS-In-TCP-NoScope","Remote Event Log Management (RPC-EPMAP)","False","Inbound","Allow"
"CoreNet-ICMP6-LR2-Out","Core Networking - Multicast Listener Report v2 (ICMPv6-Out)","True","Outbound","Allow"
