"Timestamp","Source","Event","Details"
"06-08-2025 19:20:25","FileSystem","File Modified","wct590E.tmp"
"06-08-2025 21:56:40","FileSystem","File Modified","xml_file (244).xml"
"06-08-2025 21:56:40","FileSystem","File Modified","xml_file (243).xml"
"06-08-2025 21:57:40","FileSystem","File Modified","xml_file (2).xml"
"06-08-2025 22:02:40","FileSystem","File Modified","xml_file (10).xml"
"06-08-2025 22:04:40","FileSystem","File Modified","xml_file (11).xml"
"06-08-2025 22:04:40","FileSystem","File Modified","xml_file (12).xml"
"06-08-2025 22:05:40","FileSystem","File Modified","xml_file (14).xml"
"06-08-2025 22:05:40","FileSystem","File Modified","xml_file (13).xml"
"07-08-2025 00:06:00","FileSystem","File Modified","xml_file (16).xml"
"07-08-2025 00:06:00","FileSystem","File Modified","xml_file (15).xml"
"07-08-2025 00:09:00","FileSystem","File Modified","xml_file (17).xml"
"07-08-2025 00:09:00","FileSystem","File Modified","xml_file (18).xml"
"07-08-2025 00:10:00","FileSystem","File Modified","xml_file (20).xml"
"07-08-2025 00:10:00","FileSystem","File Modified","xml_file (19).xml"
"07-08-2025 00:11:00","FileSystem","File Modified","xml_file (21).xml"
"07-08-2025 00:11:00","FileSystem","File Modified","xml_file (22).xml"
"07-08-2025 00:12:00","FileSystem","File Modified","xml_file (23).xml"
"07-08-2025 00:12:00","FileSystem","File Modified","xml_file (24).xml"
"07-08-2025 00:13:00","FileSystem","File Modified","xml_file (25).xml"
"07-08-2025 00:13:00","FileSystem","File Modified","xml_file (26).xml"
"07-08-2025 00:14:00","FileSystem","File Modified","xml_file (27).xml"
"07-08-2025 00:14:00","FileSystem","File Modified","xml_file (28).xml"
"07-08-2025 00:17:01","FileSystem","File Modified","xml_file (29).xml"
"07-08-2025 05:20:45","FileSystem","File Modified","wct46C7.tmp"
"07-08-2025 05:20:45","FileSystem","File Modified","wct7236.tmp"
"07-08-2025 05:20:45","FileSystem","File Modified","wctA06B.tmp"
"07-08-2025 14:22:18","FileSystem","File Modified","Python 3.13.6 (64-bit)_20250807142208_000_core_JustForMe.log"
"07-08-2025 14:22:19","FileSystem","File Modified","Python 3.13.6 (64-bit)_20250807142208_001_exe_JustForMe.log"
"07-08-2025 14:22:21","FileSystem","File Modified","Python 3.13.6 (64-bit)_20250807142208_002_dev_JustForMe.log"
